#,RefDes,Value,Quantity,Name,
1,+2.5V_REF,U3,1,LM4040,
2,"C2, C3, C4",10uF,3,CAPAE_4.3x4.3h5.4,
3,C5,3.9nF,1,C-EU050-025X075 (C-EU),
4,"C6, C8",0.1uF,2,C-EUC0603 (C-EU),
5,"C7, C12, C13",0.01uF,3,C-EUC0603 (C-EU),
6,"D1, D2",,2,STPS1L60ZFSOD-123 (STPS1L60ZF),
7,"J6, J7",,2,CONN_16,
8,R1,220R,1,R-US_R0603 (R-US_),
9,R2,1.2k,1,R-US_R0603 (R-US_),
10,R3,5.1k,1,R-US_R0603 (R-US_),
11,R9,267k,1,R-US_R0603 (R-US_),
12,R11,267R,1,R-US_R0603 (R-US_),
13,R12,22.1k,1,R-US_R0603 (R-US_),
14,R13,499k,1,R-US_R0603 (R-US_),
15,R33,10k,1,R-US_R0603 (R-US_),
16,"RV10, RV34",5K,2,PV36Y (PV36),
17,U1,LM337L,1,LM337L,
18,U2,U2,1,UA78L05CLP-FL,
19,VCO_1,,1,SSI2131,
,,,27,,
